年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,ホームスコア,アウェイスコア,結果,札幌の結果は？,スタジアム,入場者数,インターネット中継・TV放送,points
2008,Ｊ１,第５節第１日,04/05(土),14:04,Ｆ東京,1-0,札幌,1,0,1,●,味スタ,"20,180",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＢＳ／ＴＯＫＹＯ　ＭＸ,0
2008,Ｊ１,第６節第１日,04/12(土),13:34,札幌,2-1,磐田,2,1,1,〇,札幌ド,"15,240",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／北海道文化放送,3
2008,Ｊ１,第７節第１日,04/19(土),16:05,神戸,1-1,札幌,1,1,0,△,ホムスタ,"11,126",スカパー！・ｅ２（ＴＢＳチャンネル）／ＢＳ－ｉ,1
2008,Ｊ１,第８節第１日,04/26(土),13:33,札幌,0-1,新潟,0,1,2,●,札幌ド,"13,055",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／札幌テレビ,0
2008,Ｊ１,第９節第１日,04/29(火・祝),16:00,浦和,4-2,札幌,4,2,1,●,埼玉,"48,031",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）／テレ玉,0
2008,Ｊ１,第１０節第１日,05/03(土・祝),13:04,京都,1-0,札幌,1,0,1,●,西京極,"12,467",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＫＢＳ京都（録）,0
2008,Ｊ１,第１１節第１日,05/06(火・休),13:05,札幌,1-3,東京Ｖ,1,3,2,●,札幌ド,"16,508",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ札幌,0
2008,Ｊ１,第１２節第１日,05/10(土),16:00,大宮,1-2,札幌,1,2,2,〇,ＮＡＣＫ,"6,399",スカパー！・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）／テレ玉（録）,3
2008,Ｊ１,第１３節第１日,05/17(土),13:04,札幌,1-3,名古屋,1,3,2,●,札幌ド,"16,631",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／テレビ北海道,0
2008,Ｊ１,第１４節第２日,06/29(日),19:00,Ｇ大阪,4-2,札幌,4,2,1,●,万博,"14,039",スカパー！・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）,0
2008,Ｊ１,第２８節第２日,10/05(日),14:04,磐田,5-0,札幌,5,0,1,●,ヤマハ,"10,984",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン／静岡放送,0
2008,Ｊ１,第２９節第２日,10/19(日),13:03,札幌,0-2,柏,0,2,2,●,札幌厚別,"8,343",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ,0
2008,Ｊ１,第３０節第２日,10/26(日),16:03,川崎Ｆ,3-1,札幌,3,1,1,●,等々力,"16,145",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ,0
2008,Ｊ１,第３１節第１日,11/08(土),14:04,札幌,1-2,浦和,1,2,2,●,札幌ド,"28,901",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ／ＢＳ,0
2008,Ｊ１,第３２節第１日,11/23(日・祝),16:03,東京Ｖ,1-1,札幌,1,1,0,△,味スタ,"9,201",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン／日本テレビ（録）,1
2008,Ｊ１,第３３節第２日,11/30(日),16:04,名古屋,3-1,札幌,3,1,1,●,瑞穂陸,"19,890",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン／ＢＳ,0
2008,Ｊ１,第３４節第１日,12/06(土),14:33,札幌,0-1,鹿島,0,1,2,●,札幌ド,"26,220",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ／ＮＨＫ総合,0
2009,Ｊ２,第１節第２日,03/08(日),14:03,札幌,0-1,仙台,0,1,2,●,札幌ド,"21,908",スカパースカチャン／ｅ２スカチャン／ＮＨＫ札幌／ＮＨＫ仙台,0
2009,Ｊ２,第２節第２日,03/15(日),13:04,鳥栖,1-2,札幌,1,2,2,〇,ベアスタ,"6,572",スカパースカチャン／ｅ２スカチャン／ＮＨＫ佐賀,3
2009,Ｊ２,第３節第２日,03/22(日),14:03,甲府,2-1,札幌,2,1,1,●,小瀬,"11,252",スカパースカチャン／ｅ２スカチャン／ＮＨＫ甲府,0
2009,Ｊ２,第４節第１日,03/25(水),19:04,札幌,0-1,湘南,0,1,2,●,札幌ド,"10,786",スカパースカチャン／ｅ２スカチャンＨＤ,0
2009,Ｊ２,第５節第１日,03/29(日),12:04,岡山,1-1,札幌,1,1,0,△,岡山,"5,435",スカパースカチャン／ｅ２スカチャン／岡山放送,1
2009,Ｊ２,第６節第２日,04/05(日),13:03,熊本,4-0,札幌,4,0,1,●,熊本,"4,653",スカパースカチャン／ｅ２スカチャン,0
2009,Ｊ２,第７節第３日,04/12(日),16:03,札幌,1-1,富山,1,1,0,△,札幌ド,"10,579",スカパースカチャン／ｅ２スカチャン,1
2009,Ｊ２,第８節第１日,04/15(水),19:33,草津,1-2,札幌,1,2,2,〇,正田スタ,"2,338",スカパースカチャン／ｅ２スカチャン／群馬テレビ,3
2009,Ｊ２,第９節第２日,04/19(日),13:03,札幌,4-1,Ｃ大阪,4,1,1,〇,札幌ド,"11,035",スカパースカチャン／ｅ２スカチャン／北海道文化放送,3
2009,Ｊ２,第１０節第２日,04/26(日),16:03,横浜FC,0-1,札幌,0,1,2,〇,ニッパ球,"5,489",スカパースカチャン／ｅ２スカチャン,3
2009,Ｊ２,第１１節第１日,04/29(水・祝),16:03,札幌,3-2,愛媛,3,2,1,〇,札幌ド,"11,242",スカパースカチャン／ｅ２スカチャン,3
2009,Ｊ２,第１２節第１日,05/02(土),19:03,福岡,0-0,札幌,0,0,0,△,レベスタ,"8,552",スカパースカチャン／ｅ２スカチャン,1
2009,Ｊ２,第１３節第１日,05/05(火・祝),16:03,札幌,3-2,栃木,3,2,1,〇,札幌ド,"15,696",スカパースカチャン／ｅ２スカチャン,3
2009,Ｊ２,第１４節第２日,05/10(日),16:04,徳島,3-3,札幌,3,3,0,△,鳴門大塚,"3,319",スカパースカチャン／ｅ２スカチャン,1
2009,Ｊ２,第１５節第１日,05/16(土),14:04,札幌,3-0,岐阜,3,0,1,〇,札幌ド,"10,371",スカパースカチャン／ｅ２スカチャン／北海道テレビ,3
2009,Ｊ２,第１６節第１日,05/20(水),19:04,水戸,0-0,札幌,0,0,0,△,笠松,"1,697",スカパースカチャン／ｅ２スカチャンＨＤ,1
2009,Ｊ２,第１７節第２日,05/24(日),13:05,札幌,1-1,東京Ｖ,1,1,0,△,札幌厚別,"10,002",スカパースカチャン／ｅ２スカチャン／ＮＨＫ札幌,1
2009,Ｊ２,第１８節第２日,05/30(土),13:04,札幌,0-0,甲府,0,0,0,△,札幌厚別,"6,359",スカパースカチャン／ｅ２スカチャン／札幌テレビ,1
2009,Ｊ２,第１９節第１日,06/03(水),19:03,栃木,0-1,札幌,0,1,2,〇,熊谷陸,"1,819",スカパースカチャン／ｅ２スカチャン,3
2009,Ｊ２,第２０節第１日,06/07(日),16:04,札幌,1-2,鳥栖,1,2,2,●,札幌ド,"9,899",スカパースカチャン／ｅ２スカチャン,0
2009,Ｊ２,第２１節第２日,06/14(日),13:03,札幌,1-1,徳島,1,1,0,△,札幌厚別,"5,708",スカパースカチャン／ｅ２スカチャン,1
